Link,Rating,Summary,Tag,Title,Would make again
/recipes/food/views/mango-toast-with-hazelnut-pepita-butter,0.0,"Savory fruit toast is the new avocado toast. Other combinations we’re crushing on: lemony yogurt with cucumbers, almond butter and pears.",recipe,Mango Toast with Hazelnut-Pepita Butter,0%
/recipes/food/views/quick-pickled-charred-grilled-vegetables,4.0,This technique is nothing short of amazing—even if you're finicky about your pickles.,recipe,Quick-Pickled Charred Vegetables,100%
/recipes/food/views/green-beans-and-cucumbers-with-miso-dressing,3.5,"Crushing and smashing green beans and cucumbers sounds crazy, but it creates nooks and crannies to soak up as much umami-rich miso sauce as possible. And this is a dressing you'll want a lot of.",recipe,Green Beans and Cucumbers with Miso Dressing,88%
/recipes/food/views/fish-milanese-with-cucumber-ceviche,4.0,"Serve panko-crusted white fish with a piquant relish of cucumbers, fennel, and chiles, kissed with both lime and cilantro.",recipe,Crispy Fish Fillets with Cucumber Ceviche,100%
/recipes/food/views/thai-style-pineapple-coconut-rice,3.0,"Keep the accompaniments simple by serving with a platter of sliced baked tofu, cucumbers, tomatoes, and baby carrots.",recipe,Thai-Style Pineapple-Coconut Rice,100%
/recipes/food/views/rice-noodles-with-peanut-sauce-chicken-and-snap-peas,3.5,"Featuring an easy make-ahead peanut sauce, these chicken noodle bowls come together in no time at all.",recipe,Peanut Noodles with Chicken and Snap Peas,100%
/recipes/food/views/thai-beef-salad,4.0,"We eat this salad—which is a great way to stretch a piece of beef—all year long for lunch and dinner, but it's particularly good during the warmer months. The thinly sliced meat, the crunch of the cucumbers and red onions, and the heady aroma of mint and cilantro tossed with the chile-spiked salty-sweet dressing seem made for hot days and nights.",recipe,Thai Beef Salad,100%
/recipes/food/views/smashed-cucumbers-and-radishes-in-yogurt-sauce,0.0,"Wheels of cucumbers and radishes are nice and all, but smashing them into ragged pieces is way more fun.",recipe,Smashed Cucumbers and Radishes in Yogurt Sauce,0%
/recipes/food/views/herby-chicken-kofta-meatballs,3.5,Make a big batch of these spicy herbed meatballs and stash them in your freezer and you’ll always have the building blocks for an easy weeknight dinner on hand.,recipe,Chicken Kofta Meatballs,88%
/recipes/food/views/teriyaki-steak-skewers-with-asian-style-greens,1.0,"These steak kebabs are marinated in soy-ginger sauce, and served over a salad of bok choy, kale, and cucumbers.",recipe,Teriyaki Steak Skewers with Asian-Style Greens,0%
/recipes/food/views/yogurt-with-raisins-cucumber-and-walnuts,0.0,"Mast, which translates to yogurt in Farsi, is a staple side dish on most Persian tables. The yogurt can be mixed with shallots, grated cooked beets, cooked spinach, or, most commonly, with Persian cucumbers, mint, and dried rose.",recipe,"Yogurt with Raisins, Cucumber, and Walnuts",0%
/recipes/food/views/fast-favorite-garlic-dill-pickles-230707,3.5,"Often called kosher-style dill pickles, these are quick to make. Use either small whole cucumbers or cut larger ones into quarters. For an additional interesting flavor, tuck a small dried hot red pepper into each jar.",recipe,Favorite Dill Pickles,71%
/recipes/food/views/kale-and-cucumber-salad-with-roasted-ginger-dressing,3.0,"A Vietnamese-inspired ginger dressing and plenty of cooling, crunchy cucumbers takes kale salad from ""not now"" to ""hey, wow!""",recipe,Kale and Cucumber Salad with Ginger Dressing,73%
/recipes/food/views/chilled-beet-soup-with-buttermilk-cucumbers-and-dill-chlodnik,3.5,This classic Polish soup is the ultimate in summer refreshment.,recipe,"Chilled Beet Soup with Buttermilk, Cucumbers, and Dill (Chlodnik)",87%
/recipes/food/views/flatbread-with-fava-beans-cucumbers-and-burrata,4.0,Fava beans most likely require a trip to a farmers’ market and take a while to peel. Sugar snap peas cut into bite-size pieces are a fine alternative.,recipe,"Flatbread with Fava Beans, Cucumbers, and Burrata",100%
/recipes/food/views/moroccan-skirt-steak-salad-with-chermoula,3.0,"A fragrant, herbaceous sauce acts as both a marinade and a dressing for this pretty, Moroccan-inspired salad.",recipe,Moroccan Skirt Steak Salad With Chermoula,75%
/recipes/food/views/cucumber-and-raisin-relish-with-mustard-seeds,4.0,"Golden raisins add a bright sweetness to this fresh take on sweet-and-sour pickles. Serve it with our Cider-Brined, Maple-Glazed Pork Loin, spread it onto sandwiches, or use it to top hot dogs.",recipe,Cucumber and Raisin Relish With Mustard Seeds,100%
/recipes/food/views/fresh-dill-cucumbers-with-lemon,0.0,Fresh Dill Cucumbers with Lemon,recipe,Fresh Dill Cucumbers with Lemon,0%
/recipes/food/views/crispy-pork-lettuce-wraps-with-spicy-cucumbers-56390119,4.0,"Sweet and spicy pork belly lettuce wraps—served with a refreshing cucumber salad—are a cool, crunchy dinner for sweltering August nights.",recipe,Crispy Pork Lettuce Wraps,100%
/recipes/food/views/miso-cured-black-cod-with-chilled-cucumbers-56389995,1.0,Pro tip: Viva brand paper towels are used at Rintaro specifically for insulating the cod from its salty cure and will absorb moisture without falling apart.,recipe,Miso-Cured Black Cod with Chilled Cucumbers,0%
/recipes/food/views/cold-asian-noodle-salad-with-chicken-and-cucumbers-56389799,3.0,"This sweet and spicy pasta salad features chicken—use leftovers or grab a rotisserie chicken at the store. Make it for dinner tonight, or pack it up for lunches—it’ll be just as good tomorrow.",recipe,Cold Asian Noodle Salad,60%
/recipes/food/views/cucumbers-with-scallions-and-chili-oil-56389645,0.0,Why waste time with a knife? A simple whack to a cucumber yields jagged surfaces eager to soak up this tangy dressing.,recipe,Cucumbers with Scallions and Chili Oil,0%
/recipes/food/views/strawberry-cucumber-salad-with-lemon-cream-56389861,4.0,Strawberries and cream...and cardamom. The cooling spice and cucumbers give berries an element of intrigue.,recipe,Strawberry-Cucumber Salad with Lemon Cream,100%
/recipes/food/views/ginger-dill-pickles-56389773,0.0,"These herbaceous pickles combine spicy ginger with bright dill. Although cucumbers are classic, cherry tomatoes or green beans would also work well in this brine.",recipe,Ginger-Dill Pickles,0%
/recipes/food/views/sweet-and-sour-pickles-56389775,2.0,"These spiced-packed pickles are the perfect combination of tart and sweet, great for pre-dinner snacking or to top a sandwich. Yellow squash is delicious, but the brine also works well with cucumbers, zucchini, onions, or mushrooms.",recipe,Sweet and Sour Pickles,100%
/recipes/food/views/charred-romaine-greek-salad-with-quinoa-crusted-feta-56389585,4.0,"I live in New York, where Greek salads are a reliable diner staple. I love the combination of briny Kalamata olives and salty feta cheese mixed with crisp romaine lettuce and refreshing cucumbers. This somewhat deconstructed, twenty-first century version applies the ""warm goat cheese salad"" method to a Greek salad, coating fresh feta slices in egg wash and quinoa and then pan-frying. The result is incredibly delicious—and as good as it looks in the picture!",recipe,Charred Romaine Greek Salad With Quinoa-Crusted Feta,100%
